ID,Problem Name,Likes,Dislikes,"Like
Ratio",Topics,Difficulty,Accepted,Submissions,"Accept
Rate"
180,Consecutive Numbers,2530,349,87.90%,Database,Medium,627134,1340422,46.80%
1368,Minimum Cost to Make at Least One Valid Path in a Grid,2528,35,98.60%,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",Hard,156396,221003,70.80%
1963,Minimum Number of Swaps to Make the String Balanced,2525,147,94.50%,"Two Pointers, String, Stack, Greedy",Medium,234070,299867,78.10%
1371,Find the Longest Substring Containing Vowels in Even Counts,2524,140,94.70%,"Hash Table, String, Bit Manipulation, Prefix Sum",Medium,137190,181174,75.70%
869,Reordered Power of 2,2522,494,83.60%,"Hash Table, Math, Sorting, Counting, Enumeration",Medium,220827,333880,66.10%
1751,Maximum Number of Events That Can Be Attended II,2515,53,97.90%,"Array, Binary Search, Dynamic Programming, Sorting",Hard,158089,247997,63.70%
1901,Find a Peak Element II,2513,156,94.20%,"Array, Binary Search, Matrix",Medium,146823,273272,53.70%
2246,Longest Path With Different Adjacent Characters,2497,61,97.60%,"Array, String, Tree, Depth-First Search, Graph, Topological Sort",Hard,87253,162057,53.80%
1531,String Compression II,2495,220,91.90%,"String, Dynamic Programming",Hard,103881,199440,52.10%
826,Most Profit Assigning Work,2493,173,93.50%,"Array, Two Pointers, Binary Search, Greedy, Sorting",Medium,233729,417290,56.00%
2448,Minimum Cost to Make Array Equal,2490,36,98.60%,"Array, Binary Search, Greedy, Sorting, Prefix Sum",Hard,74311,159927,46.50%
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,2486,1505,62.30%,"String, Greedy",Medium,247734,279357,88.70%
2360,Longest Cycle in a Graph,2481,51,98.00%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Hard,96202,192092,50.10%
1200,Minimum Absolute Difference,2476,80,96.90%,"Array, Sorting",Easy,257756,363818,70.80%
1530,Number of Good Leaf Nodes Pairs,2475,109,95.80%,"Tree, Depth-First Search, Binary Tree",Medium,158005,220164,71.80%
1567,Maximum Length of Subarray With Positive Product,2473,77,97.00%,"Array, Dynamic Programming, Greedy",Medium,107267,240976,44.50%
1314,Matrix Block Sum,2471,392,86.30%,"Array, Matrix, Prefix Sum",Medium,102064,134174,76.10%
685,Redundant Connection II,2470,327,88.30%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Hard,85082,239953,35.50%
1346,Check If N and Its Double Exist,2469,249,90.80%,"Array, Hash Table, Two Pointers, Binary Search, Sorting",Easy,588449,1421106,41.40%
837,New 21 Game,2461,1994,55.20%,"Math, Dynamic Programming, Sliding Window, Probability and Statistics",Medium,155307,298409,52.00%
327,Count of Range Sum,2454,259,90.50%,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",Hard,93959,251255,37.40%
2181,Merge Nodes in Between Zeros,2451,50,98.00%,"Linked List, Simulation",Medium,321226,358471,89.60%
864,Shortest Path to Get All Keys,2448,107,95.80%,"Array, Bit Manipulation, Breadth-First Search, Matrix",Hard,88597,163919,54.00%
419,Battleships in a Board,2446,1014,70.70%,"Array, Depth-First Search, Matrix",Medium,255391,332355,76.80%
1304,Find N Unique Integers Sum up to Zero,2441,617,79.80%,"Array, Math",Easy,371977,473871,78.50%
765,Couples Holding Hands,2440,128,95.00%,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph",Hard,76682,130509,58.80%
1590,Make Sum Divisible by P,2439,171,93.40%,"Array, Hash Table, Prefix Sum",Medium,143470,364021,39.40%
920,Number of Music Playlists,2437,201,92.40%,"Math, Dynamic Programming, Combinatorics",Hard,76320,127228,60.00%
956,Tallest Billboard,2436,61,97.60%,"Array, Dynamic Programming",Hard,66515,128317,51.80%
89,Gray Code,2432,2805,46.40%,"Math, Backtracking, Bit Manipulation",Medium,369842,590694,62.60%
839,Similar String Groups,2432,217,91.80%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find",Hard,135498,243536,55.60%
2352,Equal Row and Column Pairs,2429,183,93.00%,"Array, Hash Table, Matrix, Simulation",Medium,361072,510994,70.70%
861,Score After Flipping Matrix,2425,222,91.60%,"Array, Greedy, Bit Manipulation, Matrix",Medium,161044,200694,80.20%
185,Department Top Three Salaries,2423,270,90.00%,Database,Hard,546603,932550,58.60%
331,Verify Preorder Serialization of a Binary Tree,2423,128,95.00%,"String, Stack, Tree, Binary Tree",Medium,158681,341474,46.50%
1615,Maximal Network Rank,2423,382,86.40%,Graph,Medium,161723,246320,65.70%
674,Longest Continuous Increasing Subsequence,2422,194,92.60%,Array,Easy,322182,627054,51.40%
1903,Largest Odd Number in String,2418,142,94.50%,"Math, String, Greedy",Easy,472626,714524,66.10%
1217,Minimum Cost to Move Chips to The Same Position,2417,342,87.60%,"Array, Math, Greedy",Easy,158192,218213,72.50%
1574,Shortest Subarray to be Removed to Make Array Sorted,2416,159,93.80%,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack",Medium,122917,239238,51.40%
2218,Maximum Value of K Coins From Piles,2414,37,98.50%,"Array, Dynamic Programming, Prefix Sum",Hard,77704,128735,60.40%
546,Remove Boxes,2413,132,94.80%,"Array, Dynamic Programming, Memoization",Hard,55774,114837,48.60%
1328,Break a Palindrome,2410,752,76.20%,"String, Greedy",Medium,187847,364607,51.50%
1870,Minimum Speed to Arrive on Time,2410,288,89.30%,"Array, Binary Search",Medium,117646,248052,47.40%
795,Number of Subarrays with Bounded Maximum,2403,131,94.80%,"Array, Two Pointers",Medium,83815,154489,54.30%
330,Patching Array,2401,202,92.20%,"Array, Greedy",Hard,174305,324754,53.70%
381,Insert Delete GetRandom O(1) - Duplicates allowed,2394,154,94.00%,"Array, Hash Table, Math, Design, Randomized",Hard,170655,474500,36.00%
917,Reverse Only Letters,2393,81,96.70%,"Two Pointers, String",Easy,290951,432118,67.30%
2421,Number of Good Paths,2393,112,95.50%,"Array, Hash Table, Tree, Union Find, Graph, Sorting",Hard,62401,111251,56.10%
30,Substring with Concatenation of All Words,2390,394,85.80%,"Hash Table, String, Sliding Window",Hard,619519,1861274,33.30%
988,Smallest String Starting From Leaf,2378,336,87.60%,"String, Backtracking, Tree, Depth-First Search, Binary Tree",Medium,212382,348467,60.90%
1025,Divisor Game,2367,4200,36.00%,"Math, Dynamic Programming, Brainteaser, Game Theory",Easy,341460,481883,70.90%
256,Paint House,2356,132,94.70%,"Array, Dynamic Programming",Medium,235783,368945,63.90%
178,Rank Scores,2354,294,88.90%,Database,Medium,556924,843366,66.00%
508,Most Frequent Subtree Sum,2345,327,87.80%,"Hash Table, Tree, Depth-First Search, Binary Tree",Medium,165292,242043,68.30%
1519,Number of Nodes in the Sub-Tree With the Same Label,2344,810,74.30%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting",Medium,91096,165125,55.20%
1859,Sorting the Sentence,2343,80,96.70%,"String, Sorting",Easy,215915,257359,83.90%
552,Student Attendance Record II,2342,290,89.00%,Dynamic Programming,Hard,152356,271691,56.10%
1331,Rank Transform of an Array,2338,115,95.30%,"Array, Hash Table, Sorting",Easy,306118,432869,70.70%
563,Binary Tree Tilt,2337,2241,51.00%,"Tree, Depth-First Search, Binary Tree",Easy,250972,388528,64.60%
1289,Minimum Falling Path Sum II,2334,123,95.00%,"Array, Dynamic Programming, Matrix",Hard,157844,248452,63.50%
745,Prefix and Suffix Search,2329,495,82.50%,"Array, Hash Table, String, Design, Trie",Hard,106105,261782,40.50%
1381,Design a Stack With Increment Operation,2328,110,95.50%,"Array, Stack, Design",Medium,247955,309703,80.10%
1266,Minimum Time Visiting All Points,2315,244,90.50%,"Array, Math, Geometry",Easy,272956,330388,82.60%
2487,Remove Nodes From Linked List,2315,82,96.60%,"Linked List, Stack, Recursion, Monotonic Stack",Medium,241987,324839,74.50%
694,Number of Distinct Islands,2313,152,93.80%,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function",Medium,197630,316507,62.40%
1187,Make Array Strictly Increasing,2313,50,97.90%,"Array, Binary Search, Dynamic Programming, Sorting",Hard,64251,111167,57.80%
1704,Determine if String Halves Are Alike,2312,126,94.80%,"String, Counting",Easy,388044,493211,78.70%
436,Find Right Interval,2311,384,85.80%,"Array, Binary Search, Sorting",Medium,144852,265898,54.50%
1461,Check If a String Contains All Binary Codes of Size K,2311,100,95.90%,"Hash Table, String, Bit Manipulation, Rolling Hash, Hash Function",Medium,136268,240184,56.70%
1608,Special Array With X Elements Greater Than or Equal X,2309,463,83.30%,"Array, Binary Search, Sorting",Easy,224232,336081,66.70%
1044,Longest Duplicate Substring,2308,393,85.40%,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function",Hard,79349,256864,30.90%
2265,Count Nodes Equal to Average of Subtree,2307,56,97.60%,"Tree, Depth-First Search, Binary Tree",Medium,181730,209812,86.60%
1481,Least Number of Unique Integers after K Removals,2306,233,90.80%,"Array, Hash Table, Greedy, Sorting, Counting",Medium,271555,427369,63.50%
182,Duplicate Emails,2302,81,96.60%,Database,Easy,954127,1310286,72.80%
1380,Lucky Numbers in a Matrix,2302,120,95.00%,"Array, Matrix",Easy,281308,351909,79.90%
1288,Remove Covered Intervals,2291,61,97.40%,"Array, Sorting",Medium,135610,241490,56.20%
2477,Minimum Fuel Cost to Report to the Capital,2289,95,96.00%,"Tree, Depth-First Search, Breadth-First Search, Graph",Medium,82304,127737,64.40%
1424,Diagonal Traverse II,2287,158,93.50%,"Array, Sorting, Heap (Priority Queue)",Medium,171991,295531,58.20%
475,Heaters,2285,1188,65.80%,"Array, Two Pointers, Binary Search, Sorting",Medium,151788,374553,40.50%
375,Guess Number Higher or Lower II,2283,2160,51.40%,"Math, Dynamic Programming, Game Theory",Medium,149323,289102,51.70%
477,Total Hamming Distance,2283,95,96.00%,"Array, Math, Bit Manipulation",Medium,126677,234128,54.10%
1108,Defanging an IP Address,2282,1778,56.20%,String,Easy,791991,881896,89.80%
1436,Destination City,2281,107,95.50%,"Array, Hash Table, String",Easy,311056,391526,79.40%
561,Array Partition,2277,296,88.50%,"Array, Greedy, Sorting, Counting Sort",Easy,606365,749843,80.90%
1406,Stone Game III,2276,77,96.70%,"Array, Math, Dynamic Programming, Game Theory",Hard,104983,166184,63.20%
1028,Recover a Tree From Preorder Traversal,2273,69,97.10%,"String, Tree, Depth-First Search, Binary Tree",Hard,160444,192620,83.30%
159,Longest Substring with At Most Two Distinct Characters,2263,39,98.30%,"Hash Table, String, Sliding Window",Medium,292117,515317,56.70%
565,Array Nesting,2259,159,93.40%,"Array, Depth-First Search",Medium,142952,254527,56.20%
1491,Average Salary Excluding the Minimum and Maximum Salary,2258,187,92.40%,"Array, Sorting",Easy,375774,592347,63.40%
1822,Sign of the Product of an Array,2256,223,91.00%,"Array, Math",Easy,404782,623837,64.90%
184,Department Highest Salary,2250,204,91.70%,Database,Medium,548647,983335,55.80%
313,Super Ugly Number,2250,405,84.70%,"Array, Math, Dynamic Programming",Medium,149306,327476,45.60%
1125,Smallest Sufficient Team,2248,57,97.50%,"Array, Dynamic Programming, Bit Manipulation, Bitmask",Hard,69931,126374,55.30%
1922,Count Good Numbers,2241,582,79.40%,"Math, Recursion",Medium,238427,417862,57.10%
1671,Minimum Number of Removals to Make Mountain Array,2238,41,98.20%,"Array, Binary Search, Dynamic Programming, Greedy",Hard,118323,215712,54.90%
668,Kth Smallest Number in Multiplication Table,2237,60,97.40%,"Math, Binary Search",Hard,78253,147013,53.20%
2225,Find Players With Zero or One Losses,2234,156,93.50%,"Array, Hash Table, Sorting, Counting",Medium,294794,406334,72.50%
1684,Count the Number of Consistent Strings,2233,89,96.20%,"Array, Hash Table, String, Bit Manipulation, Counting",Easy,414128,468740,88.30%
1833,Maximum Ice Cream Bars,2233,679,76.70%,"Array, Greedy, Sorting, Counting Sort",Medium,180289,243457,74.10%
828,Count Unique Characters of All Substrings of a Given String,2229,254,89.80%,"Hash Table, String, Dynamic Programming",Hard,80611,151786,53.10%
541,Reverse String II,2225,4250,34.40%,"Two Pointers, String",Easy,334118,635458,52.60%
731,My Calendar II,2221,185,92.30%,"Array, Binary Search, Design, Segment Tree, Prefix Sum, Ordered Set",Medium,200342,320707,62.50%
1502,Can Make Arithmetic Progression From Sequence,2221,113,95.20%,"Array, Sorting",Easy,282685,407042,69.40%
1361,Validate Binary Tree Nodes,2220,519,81.10%,"Tree, Depth-First Search, Breadth-First Search, Union Find, Graph, Binary Tree",Medium,129802,295491,43.90%
1160,Find Words That Can Be Formed by Characters,2218,188,92.20%,"Array, Hash Table, String, Counting",Easy,310770,436329,71.20%
888,Fair Candy Swap,2215,413,84.30%,"Array, Hash Table, Binary Search, Sorting",Easy,154632,242512,63.80%
1669,Merge In Between Linked Lists,2210,225,90.80%,Linked List,Medium,256050,310255,82.50%
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,2210,53,97.70%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Medium,110853,223954,49.50%
1389,Create Target Array in the Given Order,2208,1902,53.70%,"Array, Simulation",Easy,296055,342993,86.30%
166,Fraction to Recurring Decimal,2207,3751,37.00%,"Hash Table, Math, String",Medium,264966,998845,26.50%
1425,Constrained Subsequence Sum,2206,106,95.40%,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",Hard,87658,155533,56.40%
528,Random Pick with Weight,2198,1021,68.30%,"Array, Math, Binary Search, Prefix Sum, Randomized",Medium,646471,1332074,48.50%
2466,Count Ways To Build Good Strings,2191,210,91.30%,Dynamic Programming,Medium,174189,294705,59.10%
1661,Average Time of Process per Machine,2190,211,91.20%,Database,Easy,647688,955986,67.80%
177,Nth Highest Salary,2188,1104,66.50%,Database,Medium,552025,1435752,38.40%
1605,Find Valid Matrix Given Row and Column Sums,2183,95,95.80%,"Array, Greedy, Matrix",Medium,157647,190351,82.80%
690,Employee Importance,2179,1352,61.70%,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search",Medium,240371,349659,68.70%
937,Reorder Data in Log Files,2179,4413,33.10%,"Array, String, Sorting",Medium,401233,706032,56.80%
813,Largest Sum of Averages,2175,104,95.40%,"Array, Dynamic Programming, Prefix Sum",Medium,62634,115152,54.40%
2461,Maximum Sum of Distinct Subarrays With Length K,2167,47,97.90%,"Array, Hash Table, Sliding Window",Medium,226358,530245,42.70%
432,All O`one Data Structure,2166,219,90.80%,"Hash Table, Linked List, Design, Doubly-Linked List",Hard,186630,423331,44.10%
1422,Maximum Score After Splitting a String,2166,89,96.10%,"String, Prefix Sum",Easy,361002,554283,65.10%
642,Design Search Autocomplete System,2162,195,91.70%,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",Hard,158664,320528,49.50%
2402,Meeting Rooms III,2160,132,94.20%,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation",Hard,218110,445818,48.90%
1653,Minimum Deletions to Make String Balanced,2154,69,96.90%,"String, Dynamic Programming, Stack",Medium,175383,267321,65.60%
1673,Find the Most Competitive Subsequence,2153,102,95.50%,"Array, Stack, Greedy, Monotonic Stack",Medium,78035,149521,52.20%
1685,Sum of Absolute Differences in a Sorted Array,2153,80,96.40%,"Array, Math, Prefix Sum",Medium,124960,183417,68.10%
348,Design Tic-Tac-Toe,2148,120,94.70%,"Array, Hash Table, Design, Matrix, Simulation",Medium,298398,508532,58.70%
1352,Product of the Last K Numbers,2133,106,95.30%,"Array, Math, Design, Data Stream, Prefix Sum",Medium,253568,403503,62.80%
985,Sum of Even Numbers After Queries,2120,323,86.80%,"Array, Simulation",Medium,150789,219698,68.60%
1473,Paint House III,2113,154,93.20%,"Array, Dynamic Programming",Hard,69389,113606,61.10%
325,Maximum Size Subarray Sum Equals k,2112,66,97.00%,"Array, Hash Table, Prefix Sum",Medium,214561,423409,50.70%
636,Exclusive Time of Functions,2112,2904,42.10%,"Array, Stack",Medium,292656,449007,65.20%
362,Design Hit Counter,2110,247,89.50%,"Array, Binary Search, Design, Queue, Data Stream",Medium,297814,429662,69.30%
1318,Minimum Flips to Make a OR b Equal to c,2106,109,95.10%,Bit Manipulation,Medium,180505,251358,71.80%
786,K-th Smallest Prime Fraction,2105,121,94.60%,"Array, Two Pointers, Binary Search, Sorting, Heap (Priority Queue)",Medium,164872,239941,68.70%
1525,Number of Good Ways to Split a String,2105,52,97.60%,"Hash Table, String, Dynamic Programming, Bit Manipulation",Medium,119235,174333,68.40%
535,Encode and Decode TinyURL,2099,3812,35.50%,"Hash Table, String, Design, Hash Function",Medium,294157,340248,86.50%
506,Relative Ranks,2098,145,93.50%,"Array, Sorting, Heap (Priority Queue)",Easy,372150,504590,73.80%
252,Meeting Rooms,2096,113,94.90%,"Array, Sorting",Easy,482850,817392,59.10%
223,Rectangle Area,2094,1659,55.80%,"Math, Geometry",Medium,258698,541247,47.80%
975,Odd Even Jump,2092,529,79.80%,"Array, Dynamic Programming, Stack, Sorting, Monotonic Stack, Ordered Set",Hard,99334,243372,40.80%
2328,Number of Increasing Paths in a Grid,2083,45,97.90%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix",Hard,78427,136313,57.50%
781,Rabbits in Forest,2081,976,68.10%,"Array, Hash Table, Math, Greedy",Medium,177480,305254,58.10%
1310,XOR Queries of a Subarray,2079,60,97.20%,"Array, Bit Manipulation, Prefix Sum",Medium,209783,268023,78.30%
939,Minimum Area Rectangle,2078,295,87.60%,"Array, Hash Table, Math, Geometry, Sorting",Medium,170695,309737,55.10%
2359,Find Closest Node to Given Two Nodes,2078,463,81.80%,"Depth-First Search, Graph",Medium,162642,307405,52.90%
978,Longest Turbulent Subarray,2074,254,89.10%,"Array, Dynamic Programming, Sliding Window",Medium,126506,261729,48.30%
1354,Construct Target Array With Multiple Sums,2073,170,92.40%,"Array, Heap (Priority Queue)",Hard,70578,194561,36.30%
321,Create Maximum Number,2072,372,84.80%,"Array, Two Pointers, Stack, Greedy, Monotonic Stack",Hard,76106,228935,33.20%
2389,Longest Subsequence With Limited Sum,2071,192,91.50%,"Array, Binary Search, Greedy, Sorting, Prefix Sum",Easy,148759,203600,73.10%
2483,Minimum Penalty for a Shop,2069,109,95.00%,"String, Prefix Sum",Medium,129605,191342,67.70%
599,Minimum Index Sum of Two Lists,2067,415,83.30%,"Array, Hash Table, String",Easy,289882,494902,58.60%
1462,Course Schedule IV,2065,90,95.80%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Medium,186919,313587,59.60%
1697,Checking Existence of Edge Length Limited Paths,2064,48,97.70%,"Array, Two Pointers, Union Find, Graph, Sorting",Hard,57570,91469,62.90%
2366,Minimum Replacements to Sort the Array,2062,69,96.80%,"Array, Math, Greedy",Hard,72121,135585,53.20%
2141,Maximum Running Time of N Computers,2061,58,97.30%,"Array, Binary Search, Greedy, Sorting",Hard,66454,133364,49.80%
529,Minesweeper,2059,1087,65.40%,"Array, Depth-First Search, Breadth-First Search, Matrix",Medium,192817,282162,68.30%
2134,Minimum Swaps to Group All 1's Together II,2059,41,98.00%,"Array, Sliding Window",Medium,170689,260279,65.60%
836,Rectangle Overlap,2058,482,81.00%,"Math, Geometry",Easy,171624,373226,46.00%
1877,Minimize Maximum Pair Sum in Array,2057,477,81.20%,"Array, Two Pointers, Greedy, Sorting",Medium,204206,250491,81.50%
2401,Longest Nice Subarray,2054,62,97.10%,"Array, Bit Manipulation, Sliding Window",Medium,170455,263061,64.80%
2369,Check if There is a Valid Partition For The Array,2052,204,91.00%,"Array, Dynamic Programming",Medium,97802,187881,52.10%
732,My Calendar III,2050,274,88.20%,"Binary Search, Design, Segment Tree, Prefix Sum, Ordered Set",Hard,104343,147187,70.90%
720,Longest Word in Dictionary,2049,1503,57.70%,"Array, Hash Table, String, Trie, Sorting",Medium,178290,331234,53.80%
1483,Kth Ancestor of a Tree Node,2047,123,94.30%,"Binary Search, Dynamic Programming, Tree, Depth-First Search, Breadth-First Search, Design",Hard,47066,129258,36.40%
1148,Article Views I,2043,125,94.20%,Database,Easy,1372179,1780859,77.10%
1524,Number of Sub-arrays With Odd Sum,2042,99,95.40%,"Array, Math, Dynamic Programming, Prefix Sum",Medium,169332,302931,55.90%
2462,Total Cost to Hire K Workers,2038,721,73.90%,"Array, Two Pointers, Heap (Priority Queue), Simulation",Medium,149006,343834,43.30%
1639,Number of Ways to Form a Target String Given a Dictionary,2036,118,94.50%,"Array, String, Dynamic Programming",Hard,130570,229704,56.80%
1944,Number of Visible People in a Queue,2035,61,97.10%,"Array, Stack, Monotonic Stack",Hard,95879,133627,71.80%
2090,K Radius Subarray Averages,2031,101,95.30%,"Array, Sliding Window",Medium,176673,384835,45.90%
995,Minimum Number of K Consecutive Bit Flips,2026,90,95.70%,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum",Hard,137111,220472,62.20%
1603,Design Parking System,2022,455,81.60%,"Design, Simulation, Counting",Easy,333463,382763,87.10%
1743,Restore the Array From Adjacent Pairs,2019,69,96.70%,"Array, Hash Table, Depth-First Search",Medium,117619,157115,74.90%
1442,Count Triplets That Can Form Two Arrays of Equal XOR,2005,135,93.70%,"Array, Hash Table, Math, Bit Manipulation, Prefix Sum",Medium,136616,161057,84.80%
716,Max Stack,2000,512,79.60%,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set",Hard,175506,384824,45.60%
2116,Check if a Parentheses String Can Be Valid,1998,130,93.90%,"String, Stack, Greedy",Medium,151229,336612,44.90%
1970,Last Day Where You Can Still Cross,1995,39,98.10%,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Matrix",Hard,65645,105110,62.50%
1773,Count Items Matching a Rule,1994,271,88.00%,"Array, String",Easy,268350,315445,85.10%
818,Race Car,1990,187,91.40%,Dynamic Programming,Hard,100385,226612,44.30%
1814,Count Nice Pairs in an Array,1990,89,95.70%,"Array, Hash Table, Math, Counting",Medium,127234,262436,48.50%
2563,Count the Number of Fair Pairs,1987,148,93.10%,"Array, Two Pointers, Binary Search, Sorting",Medium,231691,438548,52.80%
730,Count Different Palindromic Subsequences,1985,102,95.10%,"String, Dynamic Programming",Hard,42873,91462,46.90%
768,Max Chunks To Make Sorted II,1979,62,97.00%,"Array, Stack, Greedy, Sorting, Monotonic Stack",Hard,81263,149306,54.40%
709,To Lower Case,1976,2793,41.40%,String,Easy,656724,778428,84.40%
1727,Largest Submatrix With Rearrangements,1973,106,94.90%,"Array, Greedy, Sorting, Matrix",Medium,77455,103008,75.20%
317,Shortest Distance from All Buildings,1971,341,85.30%,"Array, Breadth-First Search, Matrix",Hard,211183,473120,44.60%
671,Second Minimum Node In a Binary Tree,1968,1900,50.90%,"Tree, Depth-First Search, Binary Tree",Easy,228281,501206,45.50%
1793,Maximum Score of a Good Subarray,1963,50,97.50%,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack",Hard,85155,132399,64.30%
2009,Minimum Number of Operations to Make Array Continuous,1963,52,97.40%,"Array, Hash Table, Binary Search, Sliding Window",Hard,83692,160385,52.20%
2306,Naming a Company,1962,73,96.40%,"Array, Hash Table, String, Bit Manipulation, Enumeration",Hard,64395,138732,46.40%
965,Univalued Binary Tree,1960,66,96.70%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,258469,356945,72.40%
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,1956,166,92.20%,"Union Find, Graph, Sorting, Minimum Spanning Tree, Strongly Connected Component",Hard,66031,99742,66.20%
305,Number of Islands II,1954,76,96.30%,"Array, Hash Table, Union Find",Hard,168654,419436,40.20%
726,Number of Atoms,1954,409,82.70%,"Hash Table, String, Stack, Sorting",Hard,157059,241567,65.00%
1296,Divide Array in Sets of K Consecutive Numbers,1954,116,94.40%,"Array, Hash Table, Greedy, Sorting",Medium,117937,200025,59.00%
1561,Maximum Number of Coins You Can Get,1953,221,89.80%,"Array, Math, Greedy, Sorting, Game Theory",Medium,188614,222948,84.60%
1186,Maximum Subarray Sum with One Deletion,1952,74,96.30%,"Array, Dynamic Programming",Medium,66810,146695,45.50%
2235,Add Two Integers,1949,3204,37.80%,Math,Easy,759366,863970,87.90%
759,Employee Free Time,1940,140,93.30%,"Array, Line Sweep, Sorting, Heap (Priority Queue)",Hard,170482,234693,72.60%
2125,Number of Laser Beams in a Bank,1940,196,90.80%,"Array, Math, String, Matrix",Medium,229821,269085,85.40%
1749,Maximum Absolute Sum of Any Subarray,1937,42,97.90%,"Array, Dynamic Programming",Medium,175720,246120,71.40%
1962,Remove Stones to Minimize the Total,1937,176,91.70%,"Array, Greedy, Heap (Priority Queue)",Medium,136556,210337,64.90%
898,Bitwise ORs of Subarrays,1932,241,88.90%,"Array, Dynamic Programming, Bit Manipulation",Medium,128031,226603,56.50%
196,Delete Duplicate Emails,1927,391,83.10%,Database,Easy,806508,1242845,64.90%
1039,Minimum Score Triangulation of Polygon,1920,189,91.00%,"Array, Dynamic Programming",Medium,65194,107601,60.60%
2089,Find Target Indices After Sorting Array,1919,104,94.90%,"Array, Binary Search, Sorting",Easy,249819,322409,77.50%
879,Profitable Schemes,1915,126,93.80%,"Array, Dynamic Programming",Hard,73260,152508,48.00%
1791,Find Center of Star Graph,1910,181,91.30%,Graph,Easy,408282,471084,86.70%
754,Reach a Number,1905,833,69.60%,"Math, Binary Search",Medium,65550,148424,44.20%
1663,Smallest String With A Given Numeric Value,1905,63,96.80%,"String, Greedy",Medium,101976,151716,67.20%
1492,The kth Factor of n,1901,310,86.00%,"Math, Number Theory",Medium,333977,478788,69.80%
1717,Maximum Score From Removing Substrings,1901,135,93.40%,"String, Stack, Greedy",Medium,238464,358374,66.50%
2272,Substring With Largest Variance,1897,211,90.00%,"Array, Dynamic Programming",Hard,74218,161523,45.90%
490,The Maze,1894,198,90.50%,"Array, Depth-First Search, Breadth-First Search, Matrix",Medium,199453,333632,59.80%
1792,Maximum Average Pass Ratio,1893,137,93.30%,"Array, Greedy, Heap (Priority Queue)",Medium,202255,272521,74.20%
292,Nim Game,1892,2734,40.90%,"Math, Brainteaser, Game Theory",Easy,481204,823166,58.50%
1444,Number of Ways of Cutting a Pizza,1892,96,95.20%,"Array, Dynamic Programming, Memoization, Matrix, Prefix Sum",Hard,74246,120641,61.50%
284,Peeking Iterator,1891,1045,64.40%,"Array, Design, Iterator",Medium,243197,400884,60.70%
1267,Count Servers that Communicate,1891,108,94.60%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, Counting",Medium,194433,264560,73.50%
1208,Get Equal Substrings Within Budget,1890,149,92.70%,"String, Binary Search, Sliding Window, Prefix Sum",Medium,187881,317597,59.20%
1262,Greatest Sum Divisible by Three,1890,46,97.60%,"Array, Dynamic Programming, Greedy, Sorting",Medium,67648,132505,51.10%
270,Closest Binary Search Tree Value,1884,163,92.00%,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree",Easy,434240,876820,49.50%
914,X of a Kind in a Deck of Cards,1874,561,77.00%,"Array, Hash Table, Math, Counting, Number Theory",Easy,146190,488563,29.90%
2492,Minimum Score of a Path Between Two Cities,1873,317,85.50%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Medium,102146,175873,58.10%
884,Uncommon Words from Two Sentences,1872,208,90.00%,"Hash Table, String, Counting",Easy,322623,427655,75.40%
1964,Find the Longest Valid Obstacle Course at Each Position,1871,74,96.20%,"Array, Binary Search, Binary Indexed Tree",Hard,65805,105202,62.60%
1630,Arithmetic Subarrays,1870,209,89.90%,"Array, Hash Table, Sorting",Medium,151381,180752,83.80%
1203,Sort Items by Groups Respecting Dependencies,1868,317,85.50%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Hard,62338,94991,65.60%
775,Global and Local Inversions,1864,381,83.00%,"Array, Math",Medium,82992,195260,42.50%
